,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
22,0,0,31,1,0,0,60,200,15.68,0.26,1,0.0,0,6.15,57
23,0,0,38,1,0,0,60,4084,7.25,0.12,1,3426.68,1,48.85,156
24,0,0,35,1,0,0,100,1500,80.0,0.8,0,13836.99,1,198.0,192
25,0,0,10,1,0,0,100,1775,92.0,0.92,0,9165.29,1,202.0,319
26,0,0,37,0,0,0,60,15000,11.22,0.19,0,6299.45,1,362.85,46
27,0,0,16,0,0,0,60,3000,8.15,0.14,1,3426.68,1,39.12,-450
28,0,0,26,0,0,0,60,63,1.46,0.02,1,3426.68,0,0.18,147
29,0,0,31,1,0,0,120,3,69.71,0.58,1,0.0,0,0.21,295
30,0,0,11,0,0,0,60,14700,1.52,0.03,1,3426.68,1,35.75,-636
31,0,0,37,0,0,0,60,30107,8.26,0.14,0,23675.63,0,536.16,184
32,0,0,38,1,0,0,60,6493,1.77,0.03,0,1457.92,1,14.22,155
33,0,0,16,0,0,0,30,27070,11.0,0.37,1,3426.68,1,476.43,-224
34,0,0,24,1,0,0,100,4800,72.0,0.72,0,13093.27,1,677.38,-48
35,0,0,38,1,0,0,30,63421,4.3,0.14,0,13241.08,1,587.96,128
36,0,0,24,0,0,0,60,17520,9.81,0.16,0,3855.94,0,240.96,104
37,0,0,40,0,0,0,60,149944,3.6,0.06,1,3426.68,0,635.34,196
38,0,0,15,0,0,0,60,1652,6.76,0.11,1,3426.68,1,15.66,55
39,0,0,39,0,0,0,20,3500,32.0,1.6,0,9437.24,1,47.04,-760
40,0,0,31,1,0,0,60,25000,8.42,0.14,0,3790.0,0,347.32,176
41,0,0,40,0,0,0,60,166571,3.6,0.06,1,3426.68,0,705.79,277
42,0,0,16,1,0,0,30,54090,10.5,0.35,0,7992.56,0,702.55,176
43,0,0,38,1,0,0,30,4872,7.5,0.25,1,3426.68,1,71.62,153
44,0,0,40,0,0,0,30,6000,16.25,0.54,0,1956.93,1,47.04,-743
45,0,0,38,1,0,0,30,8640,10.5,0.35,1,3426.68,1,93.26,210
46,0,0,9,0,0,0,120,54000,18.9,0.16,0,44448.75,0,1262.48,325
47,0,0,31,1,0,0,90,1,4.97,0.06,0,0.0,0,0.01,96
48,0,0,32,1,0,0,1,45,5.0,5.0,1,3426.68,1,0.26,158
49,0,0,31,1,0,0,270,30,76.82,0.28,1,0.0,0,2.37,156
50,0,0,15,0,0,0,240,567,2.02,0.01,1,3426.68,1,2.47,20
51,0,0,38,1,0,0,60,600,8.38,0.14,0,2127.22,1,8.04,-493
52,0,0,31,1,0,0,30,282,15.3,0.51,0,0.0,1,8.46,-45
53,0,0,31,1,0,0,60,26369,2.92,0.05,0,5159.33,1,166.01,265
54,0,0,26,0,0,0,240,1000,1.92,0.01,0,1988.9,0,3.07,-363
55,0,0,38,1,0,0,60,5700,1.8,0.03,0,0.0,1,12.08,142
56,0,0,26,1,0,0,100,2933,89.0,0.89,0,26859.39,1,365.97,166
57,0,0,31,1,0,0,60,2,25.68,0.43,0,0.0,0,0.06,364
58,0,0,28,0,0,0,60,10530,2.44,0.04,0,5029.05,1,50.36,-115
59,0,0,37,0,0,0,30,17310,10.52,0.35,0,10542.15,1,225.26,147
60,0,0,34,0,0,0,60,8277,2.58,0.04,1,3426.68,1,35.24,34
61,0,0,24,0,0,0,60,630,1.49,0.02,1,3426.68,0,1.84,27
62,0,0,15,0,0,0,100,100,80.0,0.8,0,944.67,1,47.04,-725
63,0,0,9,0,0,0,30,25000,3.33,0.11,0,21593.88,0,116.72,667
64,0,0,9,0,0,0,60,92352,11.22,0.19,0,3641.16,0,1709.71,189
65,0,0,37,0,0,0,30,26940,4.7,0.16,0,11803.13,0,156.63,173
66,0,0,16,1,0,0,60,50544,6.61,0.11,0,34778.32,1,343.45,142
67,0,0,37,0,0,0,30,2000,5.13,0.17,0,1524.56,1,22.12,41
68,0,0,11,0,0,0,30,67624,12.42,0.41,0,20222.4,1,1343.82,-487
69,0,0,31,1,0,0,30,400,23.84,0.79,1,0.0,0,15.26,-357
70,0,0,26,0,0,0,60,552,3.31,0.06,1,3426.68,1,2.92,-699
71,0,0,9,0,0,0,60,5664,2.44,0.04,1,3426.68,1,29.8,150
72,0,0,24,0,0,0,60,39096,7.27,0.12,0,7733.77,0,351.59,130
73,0,0,33,1,0,0,25,60,20.0,0.8,0,3843.25,1,2.59,53
74,0,0,26,0,0,0,60,11837,12.96,0.22,0,15459.09,1,215.08,167
75,0,0,9,0,0,0,60,5070,15.89,0.26,1,3426.68,0,173.69,153
76,0,0,40,0,0,0,60,1988,3.25,0.05,0,5346.74,0,13.93,243
77,0,0,40,1,0,0,100,7233,80.0,0.8,0,42028.45,1,594.84,277
78,0,0,38,1,0,0,60,2400,2.35,0.04,0,7388.14,1,12.16,134
79,0,0,24,0,0,0,30,12250,4.75,0.16,0,10959.63,0,125.45,173
80,0,0,31,1,0,0,60,215,32.75,0.55,1,0.0,0,8.71,414
81,0,0,38,1,0,0,30,13907,11.15,0.37,0,2689.85,1,191.81,385
82,0,0,10,0,0,0,30,8250,4.7,0.16,1,3426.68,1,47.96,78
83,0,0,28,0,0,0,30,73467,4.64,0.15,0,26620.36,0,350.43,272
84,0,0,9,0,0,0,100,1250,71.99,0.72,0,2372.8,1,143.98,-493
85,0,0,26,0,0,0,30,12241,3.21,0.11,0,3773.0,0,40.39,133
86,0,0,28,1,0,0,60,9270,19.33,0.32,0,16847.52,1,351.21,211
87,0,0,9,1,0,0,20,289,27.0,1.35,0,1104.69,1,15.29,-89
88,0,0,4,0,0,0,100,200,0.01,0.0,1,3426.68,0,0.0,-433
89,0,0,16,1,0,0,60,1260,1.84,0.03,1,3426.68,1,2.87,188
90,0,0,24,0,0,0,30,37300,12.42,0.41,1,3426.68,1,741.23,-550
91,0,0,16,0,0,0,90,500,16.0,0.18,1,3426.68,1,12.8,-544
92,0,0,39,0,0,0,60,89575,2.18,0.04,1,0.0,0,200.74,387
93,0,0,40,0,0,0,25,5693,20.0,0.8,0,8008.65,0,182.18,-406
94,0,0,40,0,0,0,60,2699,2.95,0.05,1,3426.68,0,13.14,267
95,0,0,11,0,0,0,60,3145,3.04,0.05,0,810.86,1,15.3,-579
96,0,0,35,1,0,0,60,407,6.37,0.11,0,1264.16,1,3.63,203
97,0,0,9,0,0,0,60,33,44.05,0.73,1,3426.68,1,47.04,-809
98,0,0,26,0,0,0,60,34650,2.58,0.04,0,20264.93,0,192.74,273
99,0,0,28,1,0,0,30,1185,13.0,0.43,1,3426.68,1,25.42,156
100,0,0,15,0,0,0,30,4917,6.38,0.21,0,12862.56,1,38.81,46
101,0,0,31,1,0,0,240,4,6.7,0.03,1,0.0,0,0.03,60
102,0,0,9,1,0,0,40,331,76.0,1.9,0,7915.98,1,40.25,-367
103,0,0,9,0,0,0,60,40455,9.62,0.16,1,3426.68,0,545.63,281
104,0,0,15,1,0,0,25,108,37.5,1.5,0,0.0,1,7.94,-87
105,0,0,35,1,0,0,30,100986,3.4,0.11,0,41585.93,1,481.38,98
106,0,0,8,1,0,0,20,15,32.0,1.6,1,3426.68,1,0.56,142
107,0,0,38,1,0,0,60,2335,9.35,0.16,1,3426.68,1,30.61,174
108,0,0,31,1,0,0,60,2314,11.5,0.19,1,0.0,0,27.35,60
109,0,0,24,0,0,0,30,2933,16.75,0.56,1,3426.68,1,78.6,-619
110,0,0,11,1,0,0,20,44,29.0,1.45,0,0.0,1,1.79,125
111,0,0,38,1,0,0,60,151,15.89,0.26,0,7488.39,1,5.17,102
112,0,0,24,0,0,0,30,50000,10.52,0.35,0,0.0,0,650.66,262
113,0,0,24,0,0,0,180,1428,50.0,0.28,0,4551.52,1,114.24,-343
114,0,0,24,0,0,0,60,67609,9.62,0.16,1,3426.68,0,911.86,197
115,0,0,24,0,0,0,60,2106,2.44,0.04,0,3599.76,0,10.07,27
116,0,0,26,1,0,0,100,2744,89.0,0.89,0,24927.19,1,342.39,96
117,0,0,31,1,0,0,120,12,35.35,0.29,1,0.0,0,0.44,189
118,0,0,9,0,0,0,60,1700,2.23,0.04,0,1556.99,0,4.69,133
119,0,0,8,0,0,0,30,897,4.81,0.16,1,3426.68,1,5.34,299
120,0,0,24,0,0,0,60,6,3.2,0.05,1,3426.68,1,0.04,-100
121,0,0,26,0,0,0,60,307,2.91,0.05,1,3426.68,1,1.43,-409
122,0,0,16,1,0,0,100,110,139.0,1.39,0,1953.6,1,29.97,-69
123,0,0,38,1,0,0,60,408,14.49,0.24,0,4388.84,1,9.75,148
124,0,0,11,0,0,0,60,14040,3.04,0.05,1,3426.68,1,68.29,-529
125,0,0,39,1,0,0,300,2266,30.82,0.1,0,13949.95,1,71.79,253
126,0,0,28,1,0,0,100,386,70.0,0.7,0,3936.25,1,52.96,-61
127,0,0,26,0,0,0,60,125,3.4,0.06,1,3426.68,1,0.68,-509
128,0,0,35,1,0,0,120,7145,36.16,0.3,0,9915.56,1,557.03,102
129,0,0,3,0,0,0,60,15000,8.26,0.14,0,6477.67,1,204.44,46
130,0,0,24,0,0,0,60,84875,9.62,0.16,0,7433.02,0,1144.73,197
131,0,0,37,1,0,0,300,80,30.82,0.1,0,2077.87,1,2.53,158
132,0,0,28,0,0,0,60,8953,5.09,0.08,0,6220.48,1,46.85,181
133,0,0,34,0,0,0,120,5410,33.6,0.28,1,3426.68,1,299.93,34
134,0,0,31,1,0,0,30,31875,4.67,0.16,0,4263.07,1,320.93,186
135,0,0,35,0,0,0,60,87768,3.4,0.06,1,3426.68,0,477.46,-336
136,0,0,40,0,0,0,60,71030,4.7,0.08,0,5530.11,0,550.84,267
137,0,0,26,0,0,0,60,6000,11.22,0.19,0,6147.18,0,145.14,82
138,0,0,26,0,0,0,30,120954,3.64,0.12,0,15459.09,1,617.26,167
139,0,0,37,1,0,0,60,724,5.94,0.1,0,1042.36,1,4.42,149
140,0,0,9,0,0,0,240,1200,2.1,0.01,0,2605.77,1,4.94,-180
141,0,0,28,1,0,0,30,599,13.3,0.44,0,717.0,1,17.18,165
142,0,0,6,1,0,0,100,1268,80.0,0.8,0,9802.95,1,125.48,136
143,0,0,37,1,0,0,30,71348,3.19,0.11,0,8144.11,0,281.54,128
144,0,0,28,1,0,0,60,1411,33.0,0.55,0,1950.74,1,47.87,154
145,0,0,8,0,0,0,240,630,1.86,0.01,1,3426.68,1,1.2,162
146,0,0,16,0,0,0,60,3690,1.46,0.02,0,6036.96,1,11.62,131
147,0,0,6,0,0,0,30,1080,6.07,0.2,1,3426.68,1,8.11,78
148,0,0,9,0,0,0,60,69684,7.78,0.13,0,26205.83,1,760.08,201
149,0,0,16,1,0,0,60,336,2.49,0.04,0,1845.9,1,1.03,145
150,0,0,35,0,0,0,30,17851,11.89,0.4,0,1663.18,0,218.19,296
151,0,0,28,1,0,0,30,82981,9.36,0.31,0,14760.6,0,1674.57,270
152,0,0,9,0,0,0,30,7426,4.7,0.16,0,4063.81,1,43.17,207
153,0,0,8,0,0,0,60,20,14.63,0.24,1,3426.68,1,0.41,85
154,0,0,31,1,0,0,30,80,18.78,0.63,0,0.0,0,2.94,-17
155,0,0,39,0,0,0,60,60060,6.2,0.1,1,3426.68,1,595.8,-581
156,0,0,38,1,0,0,60,432,7.5,0.12,1,3426.68,1,5.18,-254
157,0,0,31,1,0,0,240,80,9.38,0.04,1,3426.68,0,1.47,-39
158,0,0,11,1,0,0,100,10000,8.0,0.08,0,4856.14,1,156.8,-125
159,0,0,37,0,0,0,30,192,4.04,0.13,1,3426.68,0,0.96,176
160,0,0,35,1,0,0,60,36000,3.6,0.06,0,9815.52,1,133.23,95
161,0,0,40,0,0,0,60,17660,1.99,0.03,0,0.0,0,41.36,299
162,0,0,39,1,0,0,20,5500,32.0,1.6,0,17975.84,1,344.96,156
163,0,0,15,0,0,0,240,397,2.1,0.01,1,3426.68,1,1.03,81
164,0,0,16,0,0,0,240,256,13.6,0.06,1,3426.68,1,7.51,229
165,0,0,38,1,0,0,60,40000,1.45,0.02,0,12751.68,1,95.7,202
166,0,0,31,1,0,0,60,5550,12.27,0.2,1,0.0,1,133.47,-122
167,0,0,37,0,0,0,30,650,11.75,0.39,0,536.02,1,16.47,176
168,0,0,9,0,0,0,30,2480,7.3,0.24,1,3426.68,0,39.03,156
169,0,0,8,0,0,0,60,4670,6.52,0.11,1,3426.68,1,31.3,224
170,0,0,38,1,0,0,30,14000,3.55,0.12,1,3426.68,1,51.09,166
171,0,0,37,0,0,0,60,1524,3.2,0.05,1,3426.68,1,9.56,-88
172,0,1,16,1,0,0,60,200,9.5,0.16,0,757.42,1,3.14,92
173,0,0,6,0,0,0,60,1428,6.6,0.11,0,4218.74,1,9.69,193
174,0,0,31,1,0,0,30,1500,19.81,0.66,1,0.0,0,64.06,42
175,0,0,31,1,0,0,90,85,23.36,0.26,1,0.0,0,2.46,121
176,0,0,8,1,0,0,100,56,80.0,0.8,1,3426.68,1,5.27,141
177,0,0,8,1,0,0,20,196,36.52,1.83,0,4449.1,1,10.04,342
178,0,0,24,0,0,0,60,10800,9.5,0.16,0,1998.5,1,164.16,-636
179,0,0,39,1,0,0,100,3038,80.0,0.8,0,19517.12,1,300.64,99
180,0,0,39,0,0,0,100,1128,80.0,0.8,0,2938.27,1,144.38,-593
181,0,0,26,0,0,0,30,33162,19.92,0.66,1,3426.68,1,1424.23,167
182,0,0,24,0,0,0,240,60968,1.95,0.01,0,29683.06,0,166.68,104
183,0,0,39,0,0,0,60,96800,2.31,0.04,0,17650.15,0,276.6,121
184,0,0,26,0,0,0,30,11000,11.5,0.38,0,7329.83,0,247.94,15
185,0,0,15,0,0,0,120,140,38.75,0.32,0,2027.42,1,11.7,6
186,0,0,16,1,0,0,240,2040,1.51,0.01,0,2214.69,0,3.81,264
187,0,0,9,0,0,0,100,4000,1.3,0.01,1,3426.68,0,5.35,232
188,0,0,38,1,0,0,30,27186,3.24,0.11,0,3353.3,1,108.96,144
189,0,0,9,0,0,0,60,30060,11.22,0.19,0,5254.1,1,661.06,136
190,0,0,26,0,0,0,60,63940,11.4,0.19,0,11492.86,0,1428.68,-74
191,0,0,9,0,0,0,60,3564,15.5,0.26,1,3426.68,1,91.15,171
192,0,0,26,1,0,0,20,3401,29.0,1.45,0,10191.28,1,138.28,293
193,0,0,38,1,0,0,60,3648,7.25,0.12,0,2335.19,1,51.84,-180
194,0,0,35,1,0,0,120,12500,41.1,0.34,0,12937.16,1,1006.95,-98
195,0,0,40,0,0,0,30,1600,2.0,0.07,0,2145.17,0,5.12,-357
196,0,0,32,1,0,0,100,115,8.0,0.08,1,3426.68,1,0.95,210
197,0,0,26,1,0,0,100,2853,89.0,0.89,0,0.0,1,355.99,144
198,0,0,4,1,0,0,20,5,32.0,1.6,0,592.46,1,0.31,369
199,0,0,16,1,0,0,30,96,4.49,0.15,1,3426.68,0,0.6,220
200,0,0,28,0,0,0,30,26962,4.12,0.14,0,18446.92,1,155.74,11
201,0,0,24,0,0,0,60,49999,9.81,0.16,1,3426.68,0,687.67,104
202,0,0,9,0,0,0,30,20004,3.12,0.1,1,3426.68,0,64.16,249
203,0,0,16,0,0,0,60,2111,2.33,0.04,0,1697.33,1,10.6,197
204,0,0,40,0,0,0,30,17556,6.08,0.2,0,4777.08,0,176.12,233
205,0,0,28,0,0,0,30,21868,4.59,0.15,0,9426.33,0,103.18,336
206,0,0,39,1,0,0,100,2282,72.0,0.72,0,16793.45,1,322.04,149
207,0,0,31,1,0,0,60,33711,2.53,0.04,0,2016.42,1,183.88,186
208,0,0,31,1,0,0,60,300,22.53,0.38,1,0.0,0,13.25,13
209,0,0,31,1,0,0,60,6840,10.71,0.18,1,0.0,1,143.58,-46
210,0,0,39,0,0,0,30,570,3.47,0.12,0,505.17,1,47.04,-720
211,0,0,26,0,0,0,60,10819,2.15,0.04,0,29674.91,0,23.91,164
212,0,0,35,0,0,0,240,15000,1.95,0.01,0,45291.49,0,48.26,112
213,0,0,26,0,0,0,60,35300,8.76,0.15,0,11637.64,0,606.09,144
214,0,0,26,0,0,0,30,1200,12.42,0.41,1,3426.68,1,23.85,-563
215,0,0,31,1,0,0,90,8,17.04,0.19,1,0.0,0,0.14,264
216,0,0,28,0,0,0,60,2274,3.75,0.06,0,1511.4,1,8.77,122
217,0,0,26,0,0,0,30,13473,11.0,0.37,0,3680.33,1,290.48,-105
218,0,0,9,0,0,0,60,8347,7.5,0.12,0,3908.0,1,47.04,-717
219,0,0,31,1,0,0,60,82,53.56,0.89,1,0.0,0,4.52,347
220,0,0,9,0,0,0,60,145000,7.72,0.13,0,24788.37,0,1317.53,238
221,0,0,17,0,0,0,100,5000,0.01,0.0,0,0.0,0,0.1,-221
222,0,0,38,1,0,0,120,4800,60.82,0.51,0,1779.1,1,300.11,200
223,0,0,9,1,0,1,24,25000,0.7,0.03,0,8530.29,1,34.3,-129
224,0,0,10,0,0,0,60,1850,13.15,0.22,0,7519.8,1,34.11,37
225,0,0,16,1,0,0,120,740,37.5,0.31,0,2228.92,1,59.83,55
226,0,0,35,0,0,0,60,4800,2.73,0.05,0,0.0,1,28.25,30
227,0,0,35,1,0,0,120,60,41.1,0.34,1,3426.68,1,4.83,71
228,0,0,8,0,0,0,240,1500,1.95,0.01,1,3426.68,1,4.1,162
229,0,0,39,0,0,0,60,6258,6.52,0.11,1,0.0,0,41.94,419
230,0,0,38,1,0,0,60,540,15.0,0.25,1,3426.68,1,17.46,151
231,0,0,26,0,0,0,60,15653,8.26,0.14,1,3426.68,0,181.27,70
232,0,0,26,0,0,0,60,763,4.6,0.08,0,20666.07,0,4.34,71
233,0,0,38,1,0,0,60,10935,2.6,0.04,1,3426.68,1,61.3,134
234,0,0,39,0,0,0,30,60000,11.0,0.37,0,13853.29,0,1293.6,-35
235,0,0,26,0,0,0,60,160786,2.58,0.04,1,3426.68,0,894.37,175
236,0,0,31,1,0,0,60,4,30.24,0.5,1,0.0,0,0.15,211
237,0,0,30,1,0,0,25,1500,20.5,0.82,0,0.0,1,36.19,48
238,0,0,7,0,0,0,30,45000,10.52,0.35,1,3426.68,0,585.6,40
239,0,0,37,1,0,0,100,4872,80.0,0.8,0,16876.25,1,458.75,110
240,0,0,39,0,0,0,60,39132,2.21,0.04,0,2413.89,0,88.9,98
241,0,0,40,0,0,0,60,1884,3.25,0.05,1,3426.68,0,13.2,219
242,0,0,8,1,0,0,20,39,32.0,1.6,1,3426.68,1,1.47,142
243,0,0,9,0,0,0,60,50928,8.55,0.14,1,3426.68,0,938.8,153
244,0,0,16,0,0,0,240,1951,2.1,0.01,1,3426.68,1,5.07,57
245,0,0,8,1,0,0,20,89,32.0,1.6,1,3426.68,1,2.93,101
246,0,0,39,0,0,0,60,7946,2.51,0.04,0,3402.23,0,43.0,217
247,0,0,16,1,0,0,100,1123,70.0,0.7,0,2873.56,1,154.08,-196
248,0,0,32,0,0,0,60,6459,0.0,0.0,0,11705.87,1,0.0,168
249,0,0,9,0,0,0,200,2400,1.35,0.01,1,3426.68,1,6.99,173
250,0,0,31,1,0,0,30,300,4.04,0.13,1,0.0,0,2.38,26
251,0,0,40,0,0,0,60,2508,7.4,0.12,0,12894.85,1,29.69,-453
252,0,0,39,0,0,0,60,887,8.0,0.13,1,3426.68,0,11.71,216
253,0,0,9,0,0,0,60,1000,7.5,0.12,0,1458.0,1,47.04,-763
254,0,0,9,1,0,0,40,476,110.0,2.75,0,9471.52,1,102.63,8
255,0,0,31,1,0,0,60,77143,7.33,0.12,0,3161.68,0,1219.13,99
256,0,0,26,1,0,0,100,2887,89.0,0.89,0,26859.39,1,360.23,179
257,0,0,39,0,0,0,60,3926,2.18,0.04,0,535.52,0,8.8,308
258,0,0,35,0,0,0,60,11640,7.75,0.13,1,3426.68,1,144.34,-259
259,0,0,32,0,0,0,30,1447,4.7,0.16,0,6169.0,1,6.99,149
260,0,0,9,0,0,0,30,2410,11.72,0.39,0,1409.26,1,55.36,-192
261,0,0,28,0,0,0,60,30666,2.21,0.04,0,11085.83,0,83.83,429
262,0,0,24,0,0,0,30,70000,11.15,0.37,0,16813.62,0,965.48,381
263,0,0,37,1,0,0,100,11310,1.3,0.01,0,10898.12,1,18.19,130
264,0,0,31,1,0,0,30,110,27.74,0.92,1,0.0,0,5.98,97
265,0,0,38,1,0,0,30,2016,13.66,0.46,0,2867.81,1,44.06,-364
266,0,0,40,0,0,0,60,7150,2.95,0.05,1,3426.68,0,34.8,234
267,0,0,11,1,0,0,20,26,32.0,1.6,0,334.65,1,1.17,111
268,0,0,25,1,0,0,20,120,32.0,1.6,0,1862.27,1,7.53,28
269,0,0,8,0,0,0,30,2952,12.11,0.4,1,3426.68,1,44.22,299
270,0,0,35,0,0,0,60,42141,3.73,0.06,1,3426.68,0,194.44,370
271,0,0,16,0,0,0,30,5323,5.78,0.19,0,5338.55,1,66.33,84
272,0,0,31,1,0,0,30,65000,6.47,0.22,0,10758.45,0,693.91,149
273,0,0,17,1,0,0,100,12315,89.0,0.89,0,38452.73,1,1808.46,118
274,0,0,16,0,0,0,60,11500,2.73,0.05,0,13122.39,1,67.69,143
275,0,0,16,1,0,0,30,2293,1.25,0.04,0,2461.63,0,3.55,264
276,0,0,15,1,0,0,30,69,2.24,0.07,1,3426.68,1,0.19,77
277,0,0,24,0,0,0,60,16566,7.71,0.13,0,4468.51,0,250.34,265
278,0,0,16,1,0,0,100,4000,100.0,1.0,0,16994.9,1,494.8,201
279,0,0,31,1,0,0,180,400,39.4,0.22,1,0.0,0,25.22,-403
280,0,0,28,0,0,0,30,35000,5.54,0.18,0,14332.0,1,271.85,62
281,0,0,31,1,0,0,60,50,77.15,1.29,1,0.0,0,4.77,412
282,0,0,9,0,0,0,30,384,17.0,0.57,1,3426.68,1,47.04,-830
283,0,0,28,1,0,0,100,300,139.0,1.39,1,3426.68,1,66.72,-500
284,0,0,31,1,0,0,240,60,15.46,0.06,1,0.0,0,2.0,12
285,0,0,16,1,0,0,60,180,10.28,0.17,0,910.86,1,2.96,-416
286,0,0,38,1,0,0,60,292,14.49,0.24,0,4525.05,1,6.98,149
287,0,0,26,0,0,0,30,14600,4.75,0.16,0,9736.1,0,149.52,193
288,0,0,38,1,0,0,30,41296,4.49,0.15,1,3426.68,1,259.96,181
289,0,0,31,1,0,0,200,1700,2.51,0.01,0,0.0,0,8.37,160
290,0,0,37,0,0,0,30,656,26.25,0.88,0,794.22,1,27.55,-452
291,0,0,39,0,0,0,100,872,71.99,0.72,1,3426.68,1,100.44,-593
292,0,0,32,1,0,0,100,115,8.0,0.08,0,4594.07,1,0.95,148
293,0,0,24,0,0,0,60,25394,5.38,0.09,1,3426.68,0,225.42,294
294,0,0,9,0,0,0,60,5701,4.15,0.07,0,3487.55,0,33.17,270
295,0,0,17,1,0,0,100,8500,80.0,0.8,0,14419.86,1,1466.08,90
296,0,0,17,1,0,0,100,1,80.0,0.8,0,8664.89,1,0.17,93
297,0,0,26,0,0,0,60,1370,7.7,0.13,0,1489.52,1,47.04,-706
298,0,0,26,0,0,0,120,28000,18.9,0.16,0,20526.0,0,544.02,82
299,0,0,24,0,0,0,60,26700,2.49,0.04,0,1482.7,0,68.34,382
300,0,0,9,0,0,0,40,710,76.0,1.9,0,3256.0,1,86.34,-497
301,0,0,24,1,0,0,20,27,32.0,1.6,0,0.0,1,1.02,65
302,0,0,9,0,0,0,120,11728,19.36,0.16,0,8936.06,0,233.41,408
303,0,0,31,1,0,0,30,4292,4.02,0.13,0,0.0,0,33.78,215
304,0,0,32,1,0,0,20,18,32.0,1.6,1,3426.68,1,0.68,212
305,0,0,39,0,0,0,60,50000,9.45,0.16,1,3426.68,0,756.0,-251
306,0,0,39,0,0,0,20,1500,32.0,1.6,0,4965.24,1,47.04,-759
307,0,0,16,1,0,0,30,5000,20.0,0.67,0,4909.72,1,123.7,66
308,0,0,26,0,0,0,30,277,6.85,0.23,0,7445.8,0,3.72,70
309,0,0,31,1,0,0,30,600,19.6,0.65,1,0.0,0,23.05,11
310,0,0,26,0,0,0,60,41142,2.51,0.04,0,12601.12,0,170.39,155
311,0,0,12,0,0,0,30,38760,6.42,0.21,0,985.0,1,410.58,260
312,0,0,26,1,0,0,100,3072,89.0,0.89,0,13383.47,1,338.21,106
313,0,0,24,0,0,0,30,2555,13.52,0.45,0,227.19,0,35.51,290
314,0,0,37,0,0,0,30,21563,5.78,0.19,0,8485.0,1,244.28,116
315,0,0,26,0,0,0,30,2178,10.8,0.36,1,3426.68,0,46.1,15
316,0,0,31,1,0,0,30,12,17.42,0.58,1,0.0,0,0.25,42
317,0,0,31,1,0,0,60,3,6.44,0.11,1,0.0,0,0.02,414
318,0,0,39,0,0,0,30,44135,12.42,0.41,0,12492.0,1,877.05,-510
319,0,0,11,1,0,0,20,3711,27.0,1.35,0,6112.63,1,196.39,-122
320,0,0,9,0,0,0,60,9000,6.76,0.11,0,3028.66,1,85.3,50
321,0,0,9,0,0,0,30,1620,22.5,0.75,1,3426.68,1,51.1,201
322,0,0,26,0,0,0,30,50000,16.27,0.54,0,27441.22,0,1140.53,144
323,0,0,31,1,0,0,240,25,7.39,0.03,0,0.0,0,0.23,28
324,0,0,39,0,0,0,100,6778,1.3,0.01,0,3150.3,1,9.06,182
325,0,0,37,0,0,0,30,667,4.45,0.15,1,3426.68,1,6.4,17
326,0,0,39,1,0,0,100,2500,72.0,0.72,0,7513.71,1,388.08,163
327,0,0,33,1,0,0,100,4,8.0,0.08,0,1076.15,1,0.05,166
328,0,0,33,1,0,0,100,378,89.0,0.89,0,4529.86,1,55.51,94
