,pq_#,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
23,Pre-PQ Process,SCMS-759,ASN-632,Vietnam,Direct Drop,FCA,Adult,120,500,41095.0,82.19,0.68,Yes,1767.38,Air,65.75,-644
24,Pre-PQ Process,SCMS-10080,ASN-628,Haiti,Direct Drop,EXW,HIV test,100,750,53992.5,71.99,0.72,Yes,3518.38,Air,86.39,-650
25,Pre-PQ Process,SCMS-10130,ASN-616,Haiti,Direct Drop,EXW,HIV test,100,25,8750.0,350.0,3.5,Yes,3097.85,Air,14.0,-646
26,Pre-PQ Process,SCMS-10270,ASN-710,Tanzania,Direct Drop,EXW,HIV test,25,10000,200000.0,20.0,0.8,Yes,27869.74,Air,320.0,-594
27,Pre-PQ Process,SCMS-10290,ASN-788,Tanzania,Direct Drop,EXW,HIV test,25,10000,200000.0,20.0,0.8,Yes,28461.1,Air,320.0,-557
28,Pre-PQ Process,SCMS-10300,ASN-856,Tanzania,Direct Drop,EXW,HIV test,25,10000,200000.0,20.0,0.8,Yes,28359.8,Air,320.0,-557
29,Pre-PQ Process,SCMS-11070,ASN-916,Ethiopia,Direct Drop,EXW,Adult,60,64000,99200.0,1.55,0.03,Yes,12237.61,Air,158.72,-559
30,Pre-PQ Process,SCMS-11750,ASN-745,Nigeria,Direct Drop,EXW,HIV test,20,10000,270000.0,27.0,1.35,Yes,20885.78,Air,432.0,-607
31,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,Direct Drop,DDP,Pediatric,200,40,317.6,7.94,0.04,Yes,Freight Included in Commodity Cost,Air,0.51,-489
32,Pre-PQ Process,SCMS-14190,ASN-1192,Vietnam,Direct Drop,EXW,Adult,30,1000,17000.0,17.0,0.57,Yes,2282.57,Air,27.2,-497
33,Pre-PQ Process,SCMS-14200,ASN-1171,Vietnam,Direct Drop,EXW,Adult,60,400,3352.0,8.38,0.14,Yes,2149.05,Air,5.36,-497
34,Pre-PQ Process,SCMS-14630,ASN-1253,Rwanda,Direct Drop,EXW,HIV test - Ancillary,100,1500,15.0,0.01,0.0,Yes,0.75,Air,0.02,-487
35,Pre-PQ Process,SCMS-15550,ASN-1269,Nigeria,Direct Drop,EXW,HIV test - Ancillary,100,650,6.5,0.01,0.0,Yes,Invoiced Separately,Air,0.01,-482
36,Pre-PQ Process,SCMS-16600,ASN-1520,South Africa,Direct Drop,DDP,Pediatric,200,200,340.0,1.7,0.01,Yes,Freight Included in Commodity Cost,Air,0.54,-514
37,Pre-PQ Process,SCMS-14080,ASN-1318,Haiti,Direct Drop,EXW,HIV test,100,2,278.0,139.0,1.39,Yes,Invoiced Separately,Air,0.44,-469
38,Pre-PQ Process,SCMS-18290,ASN-1879,Côte d'Ivoire,Direct Drop,EXW,HIV test,40,476,36176.0,76.0,1.9,Yes,5446.51,Air,57.88,-349
39,Pre-PQ Process,SCMS-18310,ASN-3435,Côte d'Ivoire,Direct Drop,EXW,HIV test,25,659,13180.0,20.0,0.8,Yes,2656.12,Air,25.83,-74
40,Pre-PQ Process,SCMS-18480,ASN-1502,Guyana,Direct Drop,EXW,HIV test - Ancillary,100,240,2.4,0.01,0.0,Yes,Invoiced Separately,Air,0.0,-426
41,Pre-PQ Process,SCMS-18500,ASN-2117,Guyana,Direct Drop,EXW,HIV test - Ancillary,100,213,2.13,0.01,0.0,Yes,360,Air,0.0,-308
42,Pre-PQ Process,SCMS-18430,ASN-1465,Ethiopia,Direct Drop,DDP,HIV test,100,63,13399.25,212.69,2.13,Yes,Freight Included in Commodity Cost,Air,21.44,-447
43,Pre-PQ Process,SCMS-18870,ASN-2434,Zimbabwe,Direct Drop,EXW,HIV test,100,1634,117631.66,71.99,0.72,Yes,4112.46,Air,188.21,-196
44,Pre-PQ Process,SCMS-18940,ASN-1467,Nigeria,Direct Drop,EXW,HIV test,20,1425,38475.0,27.0,1.35,Yes,5468.88,Air,61.56,-410
45,Pre-PQ Process,SCMS-19130,ASN-1798,Namibia,Direct Drop,EXW,HIV test,100,142,10222.58,71.99,0.72,Yes,1715.17,Air,16.36,-362
46,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,Direct Drop,EXW,Adult,30,8400,96432.0,11.48,0.38,Yes,4051.34,Air,154.29,-363
47,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,Direct Drop,DDP,Adult,270,6,405.06,67.51,0.25,Yes,Freight Included in Commodity Cost,Truck,0.65,-403
48,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,Direct Drop,DDP,Pediatric,200,600,870.0,1.45,0.01,No,Freight Included in Commodity Cost,Truck,1.39,-403
49,Pre-PQ Process,SCMS-20310,ASN-1923,Vietnam,Direct Drop,CIP,Pediatric,60,400,2800.0,7.0,0.12,Yes,2211.05,Air,4.48,-324
50,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,Direct Drop,DDP,Pediatric,60,6,77.1,12.85,0.21,Yes,Freight Included in Commodity Cost,Air,0.12,-420
51,Pre-PQ Process,SCMS-21540,ASN-2008,Nigeria,Direct Drop,EXW,HIV test,100,5498,439785.02,79.99,0.8,Yes,16090.22,Air,703.66,-327
52,Pre-PQ Process,SCMS-21540,ASN-2011,Nigeria,Direct Drop,EXW,HIV test - Ancillary,100,5498,54.98,0.01,0.0,Yes,Invoiced Separately,Air,0.09,-332
53,Pre-PQ Process,SCMS-21550,ASN-1741,Ethiopia,Direct Drop,DDP,HIV test,20,15,691.42,46.09,2.3,Yes,Freight Included in Commodity Cost,Air,1.11,-388
54,Pre-PQ Process,SCMS-23450,ASN-2336,Vietnam,Direct Drop,EXW,Adult,30,1344,18359.04,13.66,0.46,Yes,13507.92,Air,29.37,-255
55,Pre-PQ Process,SCMS-23500,ASN-2783,South Africa,Direct Drop,DDP,Adult,60,20,103.4,5.17,0.09,Yes,Freight Included in Commodity Cost,Truck,0.2,-285
56,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,Direct Drop,DDP,Adult,30,100,1906.0,19.06,0.64,Yes,Freight Included in Commodity Cost,Truck,3.05,-389
57,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,Direct Drop,DDP,Pediatric,200,670,1025.1,1.53,0.01,No,Freight Included in Commodity Cost,Truck,1.64,-389
58,Pre-PQ Process,SCMS-23610,ASN-2167,Tanzania,Direct Drop,CIP,Adult,30,2597,61470.99,23.67,0.79,Yes,645.1,Air,98.35,-272
59,Pre-PQ Process,SCMS-23840,ASN-2504,Haiti,Direct Drop,EXW,HIV test,100,28,9800.0,350.0,3.5,Yes,782.13,Air,15.68,-244
60,Pre-PQ Process,SCMS-24020,ASN-2865,Haiti,Direct Drop,EXW,HIV test,100,84,11676.0,139.0,1.39,Yes,871.57,Air,22.88,-189
61,Pre-PQ Process,SCMS-25540,ASN-2295,South Africa,Direct Drop,DDP,Adult,60,30,1049.4,34.98,0.58,Yes,Freight Included in Commodity Cost,Truck,1.68,-357
62,Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,Direct Drop,EXW,Adult,60,38640,92736.0,2.4,0.04,Yes,18614.72,Air,148.38,-255
63,Pre-PQ Process,SCMS-26560,ASN-2366,Nigeria,Direct Drop,EXW,ACT,540,34,1547.68,45.52,0.08,Yes,1755.87,Air,2.48,-265
64,Pre-PQ Process,SCMS-26200,ASN-2563,Vietnam,Direct Drop,EXW,Adult,60,42000,60900.0,1.45,0.02,Yes,10179.16,Air,97.44,-236
65,Pre-PQ Process,SCMS-26820,ASN-2488,South Africa,Direct Drop,DDP,Pediatric,240,50,696.5,13.93,0.06,Yes,Freight Included in Commodity Cost,Truck,1.11,-328
66,Pre-PQ Process,SCMS-27360,ASN-2767,Vietnam,Direct Drop,EXW,Adult,30,16800,171192.0,10.19,0.34,Yes,4686.88,Air,335.54,-186
67,Pre-PQ Process,SCMS-27670,ASN-2255,Guyana,Direct Drop,CIP,Malaria,25,98,3675.0,37.5,1.5,Yes,180,Air,5.88,-290
68,Pre-PQ Process,SCMS-27790,ASN-2641,Zambia,Direct Drop,EXW,HIV test,100,4500,323955.0,71.99,0.72,Yes,11062.05,Air,634.95,-224
69,Pre-PQ Process,SCMS-28840,ASN-2450,Namibia,Direct Drop,EXW,HIV test,20,10,320.0,32.0,1.6,Yes,Invoiced Separately,Air,0.51,-256
70,Pre-PQ Process,SCMS-29140,ASN-2472,Côte d'Ivoire,Direct Drop,EXW,HIV test,40,500,38000.0,76.0,1.9,Yes,11298.13,Air,60.8,-242
71,Pre-PQ Process,SCMS-29340,ASN-2921,Côte d'Ivoire,Direct Drop,EXW,ACT,12,25000,9750.0,0.39,0.03,Yes,12830.91,Air,19.11,-129
72,Pre-PQ Process,SCMS-30502,ASN-3653,Nigeria,Direct Drop,CIP,Adult,30,9,453.6,50.4,1.68,Yes,Freight Included in Commodity Cost,Air,0.89,-54
73,Pre-PQ Process,SCMS-31180,ASN-2717,Namibia,Direct Drop,EXW,HIV test,100,150,10798.5,71.99,0.72,Yes,2698.04,Air,21.17,-215
74,Pre-PQ Process,SCMS-31370,ASN-2796,Botswana,Direct Drop,EXW,HIV test - Ancillary,2,15,450.0,30.0,15.0,Yes,578.01,Air,0.88,-185
75,Pre-PQ Process,SCMS-31380,ASN-3172,Zambia,Direct Drop,EXW,HIV test,25,319,6380.0,20.0,0.8,Yes,1122.24,Air,12.5,-129
76,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,Direct Drop,DDP,Adult,30,80,1830.4,22.88,0.76,Yes,Freight Included in Commodity Cost,Truck,3.59,-235
77,Pre-PQ Process,SCMS-33320,ASN-3892,South Africa,Direct Drop,DDP,Adult,30,120,2745.6,22.88,0.76,Yes,Freight Included in Commodity Cost,Truck,5.38,-15
78,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,Direct Drop,DDP,Pediatric,200,600,858.0,1.43,0.01,No,Freight Included in Commodity Cost,Truck,1.68,-235
79,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,Direct Drop,DDP,Pediatric,60,7,91.35,13.05,0.22,No,Freight Included in Commodity Cost,Truck,0.18,-235
80,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,Direct Drop,DDP,Pediatric,300,40,1375.6,34.39,0.11,No,Freight Included in Commodity Cost,Truck,2.7,-235
81,Pre-PQ Process,SCMS-33930,ASN-3209,Guyana,Direct Drop,CIP,Malaria,25,108,4050.0,37.5,1.5,Yes,Freight Included in Commodity Cost,Air,7.94,-115
82,Pre-PQ Process,SCMS-34680,ASN-3332,Tanzania,Direct Drop,CIP,Adult,30,50000,2520000.0,50.4,1.68,Yes,9339,Air,4939.2,-41
83,Pre-PQ Process,SCMS-35790,ASN-3242,Côte d'Ivoire,Direct Drop,EXW,Malaria,100,140,2731.4,19.51,0.2,Yes,25405.22,Air,5.35,-91
84,Pre-PQ Process,SCMS-36660,ASN-3509,Mozambique,Direct Drop,EXW,HIV test,20,5700,182400.0,32.0,1.6,Yes,23914.8,Air,357.5,-70
85,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,Direct Drop,EXW,Adult,60,5964,51350.04,8.61,0.14,Yes,12835.2,Air,100.65,-52
86,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,Direct Drop,EXW,Adult,60,21000,50400.0,2.4,0.04,No,See ASN-3562 (ID#:960),Air,98.78,-52
87,Pre-PQ Process,SCMS-37180,ASN-3521,Vietnam,Direct Drop,EXW,Adult,60,10560,72864.0,6.9,0.12,Yes,4225.93,Air,142.81,-70
88,Pre-PQ Process,SCMS-31721,ASN-3454,Vietnam,Direct Drop,EXW,Adult,60,2352,20250.72,8.61,0.14,Yes,892.5,Air,39.69,-77
89,Pre-PQ Process,SCMS-38370,ASN-3751,Tanzania,Direct Drop,FCA,Pediatric,300,524,21536.4,41.1,0.14,Yes,6668.61,Air,42.21,-4
90,Pre-PQ Process,SCMS-38380,ASN-3627,Tanzania,Direct Drop,FCA,Pediatric,60,2094,21526.32,10.28,0.17,Yes,Freight Included in Commodity Cost,Air,42.19,-28
91,Pre-PQ Process,SCMS-38660,ASN-3710,Rwanda,Direct Drop,EXW,HIV test,30,8249,185602.5,22.5,0.75,Yes,12595.81,Air,363.78,-34
92,Pre-PQ Process,SCMS-39640,ASN-4747,Nigeria,Direct Drop,CIP,Adult,30,200,4734.0,23.67,0.79,Yes,463,Air,9.28,121
93,Pre-PQ Process,SCMS-40000,ASN-3675,Haiti,Direct Drop,CIP,Pediatric,60,80,760.0,9.5,0.16,Yes,260,Air,1.49,-62
94,Pre-PQ Process,SCMS-40000,ASN-3675,Haiti,Direct Drop,CIP,Pediatric,200,32,402.88,12.59,0.06,No,See ASN-3675 (ID#:1046),Air,0.79,-62
95,Pre-PQ Process,SCMS-40030,ASN-3750,Haiti,Direct Drop,FCA,Pediatric,60,46,472.88,10.28,0.17,Yes,893.22,Air,0.93,-47
96,Pre-PQ Process,SCMS-40810,ASN-3634,South Africa,Direct Drop,DDP,Adult,30,3025,47522.75,15.71,0.52,Yes,Freight Included in Commodity Cost,Air,93.14,-181
97,Pre-PQ Process,SCMS-41040,ASN-3623,South Africa,Direct Drop,DDP,Adult,30,3500,49840.0,14.24,0.47,Yes,Freight Included in Commodity Cost,Air,97.69,-180
98,Pre-PQ Process,SCMS-41040,ASN-3623,South Africa,Direct Drop,DDP,Pediatric,240,1008,3588.48,3.56,0.01,No,Freight Included in Commodity Cost,Air,7.03,-180
99,Pre-PQ Process,SCMS-41060,ASN-3624,South Africa,Direct Drop,DDP,Pediatric,200,960,1152.0,1.2,0.01,Yes,Freight Included in Commodity Cost,Air,2.26,-160
100,Pre-PQ Process,SCMS-41070,ASN-3625,South Africa,Direct Drop,DDP,Pediatric,240,1800,10512.0,5.84,0.02,Yes,Freight Included in Commodity Cost,Air,20.6,-153
101,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,Direct Drop,DDP,Adult,60,1200,3384.0,2.82,0.05,Yes,Freight Included in Commodity Cost,Air,6.63,-192
102,Pre-PQ Process,SCMS-41462,ASN-4361,South Africa,Direct Drop,DDP,Pediatric,240,346,1954.9,5.65,0.02,Yes,Freight Included in Commodity Cost,Air,3.83,-41
103,Pre-PQ Process,SCMS-41460,ASN-4502,South Africa,Direct Drop,DDP,Pediatric,30,5300,16642.0,3.14,0.1,Yes,Freight Included in Commodity Cost,Truck,32.62,4
104,Pre-PQ Process,SCMS-41464,ASN-4634,South Africa,Direct Drop,DDP,Pediatric,240,342,1932.3,5.65,0.02,Yes,Freight Included in Commodity Cost,Air,3.79,16
105,Pre-PQ Process,SCMS-41480,ASN-5055,South Africa,Direct Drop,DDP,Adult,60,2700,10665.0,3.95,0.07,Yes,Freight Included in Commodity Cost,Truck,20.9,79
106,Pre-PQ Process,SCMS-41581,ASN-4196,South Africa,Direct Drop,DDP,Adult,120,3735,134385.3,35.98,0.3,Yes,Freight Included in Commodity Cost,Air,263.4,-48
107,Pre-PQ Process,SCMS-41589,ASN-4358,South Africa,Direct Drop,DDP,Adult,60,6000,80640.0,13.44,0.22,Yes,Freight Included in Commodity Cost,Air,158.05,-33
108,Pre-PQ Process,SCMS-41584,ASN-4385,South Africa,Direct Drop,DDP,Adult,60,11672,35016.0,3.0,0.05,Yes,Freight Included in Commodity Cost,Air,68.63,-42
109,Pre-PQ Process,SCMS-41870,ASN-4896,Botswana,Direct Drop,EXW,HIV test,100,20,7000.0,350.0,3.5,Yes,1172.11,Air,13.72,165
110,Pre-PQ Process,SCMS-42210,ASN-4086,Côte d'Ivoire,Direct Drop,FCA,Adult,120,10240,420864.0,41.1,0.34,Yes,14806.48,Air,824.89,29
111,Pre-PQ Process,SCMS-42230,ASN-4423,Côte d'Ivoire,Direct Drop,FCA,Adult,336,400,15344.0,38.36,0.11,Yes,7642.97,Air,30.07,51
112,Pre-PQ Process,SCMS-47390,ASN-4402,South Africa,Direct Drop,DDP,Pediatric,300,30,1080.0,36.0,0.12,Yes,Freight Included in Commodity Cost,Truck,2.12,-41
113,Pre-PQ Process,SCMS-47430,ASN-4244,South Africa,Direct Drop,DDP,Adult,30,80,2816.0,35.2,1.17,Yes,Freight Included in Commodity Cost,Truck,5.52,-45
114,Pre-PQ Process,SCMS-47500,ASN-4332,South Africa,Direct Drop,DDP,Adult,60,1000,19770.0,19.77,0.33,Yes,3134.85,Truck,38.75,-39
115,Pre-PQ Process,SCMS-42720,ASN-4787,Haiti,Direct Drop,EXW,HIV test,100,60,21000.0,350.0,3.5,Yes,3128.19,Air,41.16,107
116,Pre-PQ Process,SCMS-42980,ASN-4343,Kenya,Direct Drop,EXW,HIV test,100,7500,600000.0,80.0,0.8,Yes,16835.31,Air,1176.0,39
117,Pre-PQ Process,SCMS-43330,ASN-4437,Nigeria,Direct Drop,EXW,HIV test,100,6395,511600.0,80.0,0.8,Yes,24514.33,Air,1002.74,78
118,Pre-PQ Process,SCMS-43890,ASN-4503,Rwanda,Direct Drop,CIP,Adult,30,55356,386384.88,6.98,0.23,Yes,37404.74,Air,757.31,54
119,Pre-PQ Process,SCMS-44130,ASN-4791,Côte d'Ivoire,Direct Drop,EXW,HIV test,40,1000,110000.0,110.0,2.75,Yes,8074.03,Air,215.6,106
120,Pre-PQ Process,SCMS-44990,ASN-4302,Vietnam,Direct Drop,FCA,Adult,336,8,613.76,76.72,0.23,Yes,3366.04,Air,1.2,46
121,Pre-PQ Process,SCMS-45080,ASN-4420,Vietnam,Direct Drop,EXW,Adult,60,3500,39025.0,11.15,0.19,Yes,6341.88,Air,76.49,39
122,Pre-PQ Process,SCMS-46071,ASN-4324,Botswana,Direct Drop,EXW,HIV test,100,5,1750.0,350.0,3.5,Yes,684.42,Air,3.43,39
123,Pre-PQ Process,SCMS-46120,ASN-4659,Namibia,Direct Drop,EXW,HIV test,25,67,5025.0,75.0,3.0,Yes,401.97,Air,9.85,92
124,Pre-PQ Process,SCMS-46550,ASN-4488,Vietnam,Direct Drop,CIP,Pediatric,60,400,2800.0,7.0,0.12,Yes,14.36,Air,5.49,57
125,Pre-PQ Process,SCMS-46820,ASN-4311,Namibia,Direct Drop,EXW,HIV test,20,220,7040.0,32.0,1.6,Yes,1736.18,Air,13.8,28
126,Pre-PQ Process,SCMS-46970,ASN-4821,South Africa,Direct Drop,DDP,Adult,84,50,490.0,9.8,0.12,Yes,Freight Included in Commodity Cost,Truck,0.96,57
127,Pre-PQ Process,SCMS-47051,ASN-4838,South Africa,Direct Drop,DDP,Adult,60,5000,41300.0,8.26,0.14,Yes,Freight Included in Commodity Cost,Truck,80.95,65
128,Pre-PQ Process,SCMS-47051,ASN-4836,South Africa,Direct Drop,DDP,Pediatric,240,460,2838.2,6.17,0.03,Yes,Freight Included in Commodity Cost,Truck,5.56,57
129,Pre-PQ Process,SCMS-1,ASN-5,Côte d'Ivoire,Direct Drop,EXW,HIV test,40,147,11076.45,75.35,1.88,Yes,1816.57,Air,47.04,-1070
130,Pre-PQ Process,SCMS-5,ASN-7,Côte d'Ivoire,Direct Drop,EXW,HIV test,100,6,2400.0,400.0,4.0,Yes,1039.5,Air,47.04,-1053
131,Pre-PQ Process,SCMS-12,ASN-91,Vietnam,Direct Drop,CIP,Pediatric,60,2800,19600.0,7.0,0.12,Yes,3292.15,Air,47.04,-928
132,Pre-PQ Process,SCMS-74,ASN-46,Haiti,Direct Drop,EXW,HIV test,100,15,6000.0,400.0,4.0,Yes,1195.29,Air,47.04,-935
133,Pre-PQ Process,SCMS-135,ASN-79,Zimbabwe,Direct Drop,CIP,Adult,180,260,11096.8,42.68,0.24,Yes,Freight Included in Commodity Cost,Air,47.04,-937
134,Pre-PQ Process,SCMS-156,ASN-93,Nigeria,Direct Drop,EXW,Adult,60,894,2994.9,3.35,0.06,Yes,4861.14,Air,47.04,-907
135,Pre-PQ Process,SCMS-169,ASN-272,Vietnam,Direct Drop,EXW,Adult,60,25100,276100.0,11.0,0.18,Yes,18772.94,Air,47.04,-810
136,Pre-PQ Process,SCMS-170,ASN-273,Vietnam,Direct Drop,EXW,Adult,60,95500,144205.0,1.51,0.03,Yes,42453.21,Air,47.04,-810
137,Pre-PQ Process,SCMS-177,ASN-136,Guyana,Direct Drop,EXW,HIV test,20,900,36000.0,40.0,2.0,Yes,4989.87,Air,47.04,-885
138,Pre-PQ Process,SCMS-211,ASN-229,Mozambique,Direct Drop,CIP,Adult,120,80,3288.0,41.1,0.34,Yes,Freight Included in Commodity Cost,Air,47.04,-837
139,Pre-PQ Process,SCMS-262,ASN-386,Vietnam,Direct Drop,EXW,Adult,60,70000,525000.0,7.5,0.12,Yes,31858.09,Air,47.04,-751
140,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,Direct Drop,EXW,Adult,30,71577,1087970.4,15.2,0.51,No,See ASN-242 (ID#:64),Air,47.04,-825
141,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,Direct Drop,EXW,Adult,60,5605,202340.5,36.1,0.6,No,See ASN-242 (ID#:64),Air,47.04,-825
142,Pre-PQ Process,SCMS-284,ASN-168,Ethiopia,Direct Drop,FCA,HIV test,100,200,16000.0,80.0,0.8,Yes,Invoiced Separately,Air,47.04,-886
143,Pre-PQ Process,SCMS-314,ASN-624,Vietnam,Direct Drop,EXW,Adult,60,25000,187500.0,7.5,0.12,Yes,21439.59,Air,300.0,-647
144,Pre-PQ Process,SCMS-343,ASN-259,Nigeria,Direct Drop,EXW,HIV test,40,375,28500.0,76.0,1.9,Yes,4445.75,Air,47.04,-794
145,Pre-PQ Process,SCMS-360,ASN-201,Ethiopia,Direct Drop,EXW,HIV test,100,4650,372000.0,80.0,0.8,Yes,24859.45,Air,47.04,-868
146,Pre-PQ Process,SCMS-610,ASN-813,Côte d'Ivoire,Direct Drop,CIP,Pediatric,60,1577,14981.5,9.5,0.16,Yes,Freight Included in Commodity Cost,Air,23.97,-587
147,Pre-PQ Process,SCMS-695,ASN-622,Nigeria,Direct Drop,EXW,HIV test,100,3500,280000.0,80.0,0.8,Yes,5858.57,Air,448.0,-633
148,Pre-PQ Process,SCMS-698,ASN-727,Côte d'Ivoire,Direct Drop,CIP,Pediatric,60,4270,40565.0,9.5,0.16,No,Freight Included in Commodity Cost,Air,64.9,-608
149,Pre-PQ Process,SCMS-749,ASN-744,Vietnam,Direct Drop,EXW,Pediatric,240,1000,1920.0,1.92,0.01,Yes,13762.41,Air,3.07,-608
150,Pre-PQ Process,SCMS-749,ASN-744,Vietnam,Direct Drop,EXW,Pediatric,240,1000,2100.0,2.1,0.01,No,See ASN-744 (ID#:1356),Air,3.36,-608
151,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,Direct Drop,EXW,Pediatric,240,1000,2100.0,2.1,0.01,No,See ASN-781 (ID#:115),Air,3.36,-595
152,Pre-PQ Process,SCMS-753,ASN-782,Vietnam,Direct Drop,EXW,Adult,60,3000,40500.0,13.5,0.22,Yes,4454.62,Air,64.8,-595
153,Pre-PQ Process,SCMS-754,ASN-926,Vietnam,Direct Drop,EXW,Adult,30,22500,277425.0,12.33,0.41,Yes,16095.39,Air,443.88,-556
154,Pre-PQ Process,SCMS-757,ASN-631,Vietnam,Direct Drop,FCA,Adult,120,500,41095.0,82.19,0.68,Yes,1767.38,Air,65.75,-644
155,Pre-PQ Process,SCMS-10240,ASN-649,Tanzania,Direct Drop,EXW,HIV test,25,10000,200000.0,20.0,0.8,Yes,25165.3,Air,320.0,-621
